,SOURCE DES DONNÉES,N° PAGE,TYPE DE CENTRE,DOMAINE,ACTE,CATÉGORIE D’ACTES,FINALITÉ,BASE LÉGALE,DOSSIER,COÛT,QUITTANCE/REÇU/TIMBRE,DÉLAI DE DÉLIVRANCE,VALIDITÉ,COÛT MINIMUM,COÛT MAXIMUM,PRÉCISION COÛT,LIEU DE RETRAIT
0,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,18,[CHU YO],Santé,Consultation Curative Infirmière Spécialisée (Attaché de santé) ,Consultation ,Poser un diagnostic d’une pathologie chez un patient et / ou proposer un traitement curatif y compris les conseils de prévention ou de promotion de la santé. ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,"Carnet de santé, document de référence ou non",1000,Quittance,Immédiat et en fonction du nombre de patients ,Possibilité de consultation pendant l’épisode de la maladie jusqu’à 2 semaines,,,,
1,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,18,[CHU YO],Santé,Consultation de médecin généraliste et chirurgien-dentiste ,Consultation ,Poser un diagnostic d’une pathologie chez un patient et / ou proposer un traitement curatif y compris les conseils de prévention ou de promotion de la santé. ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,"Carnet de santé, document de référence ou non",2000,Quittance,Immédiat et en fonction du nombre de patients ,Possibilité de consultation pendant l’épisode de la maladie jusqu’à 2 semaines,,,,
2,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,18,[CHU YO],Santé,Consultation de médecin généraliste et chirurgien-dentiste spécialisés ,Consultation ,Poser un diagnostic d’une pathologie chez un patient et / ou proposer un traitement curatif y compris les conseils de prévention ou de promotion de la santé. ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,"Carnet de santé, document de référence ou non",2000,Quittance,Immédiat et en fonction du nombre de patients ,Possibilité de consultation pendant l’épisode de la maladie jusqu’à 2 semaines,,,,
3,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,19,[CHU YO],Santé,Hospitalisations / 1er catégories,Hospitalisations,"Suivi du patient en milieu hospitalier : prend en compte le suivi par le personnel de santé en plus de la nourriture, les frais d’entretien des locaux et les frais d’administration ",KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Dossier du malade,2000,Reçu de paiement des frais de sortie du patient,Immédiat ,Selon le temps de séjour du patient,,,,
4,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,19,[CHU YO],Santé,Hospitalisations / 2ème  catégories,Hospitalisations,"Suivi du patient en milieu hospitalier : prend en compte le suivi par le personnel de santé en plus de la nourriture, les frais d’entretien des locaux et les frais d’administration ",KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Dossier du malade,1000,Reçu de paiement des frais de sortie du patient,Immédiat ,Selon le temps de séjour du patient,,,,
5,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,19,[CHU YO],Santé,Hospitalisations / 3ème catégories,Hospitalisations,"Suivi du patient en milieu hospitalier : prend en compte le suivi par le personnel de santé en plus de la nourriture, les frais d’entretien des locaux et les frais d’administration ",KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Dossier du malade,1000,Reçu de paiement des frais de sortie du patient,Immédiat ,Selon le temps de séjour du patient,,,,
6,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,19,[CHU YO],Santé,Hospitalisations / 4ème catégories,Hospitalisations,"Suivi du patient en milieu hospitalier : prend en compte le suivi par le personnel de santé en plus de la nourriture, les frais d’entretien des locaux et les frais d’administration ",KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Dossier du malade,500,Reçu de paiement des frais de sortie du patient,Immédiat ,Selon le temps de séjour du patient,,,,
7,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,20,[CHU YO],Santé,Acte d’imagerie : RX THORAX /F,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,3500,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,,
8,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,20,[CHU YO],Santé,Acte d’imagerie : RX THORAX /P,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,7000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,,
9,GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE YALGADO OUEDRAOGO (CHU-YO) BURKINA FASO,21,[CHU YO],Santé,Acte d’imagerie : RX ABDOMEN / ASP,EXAMENS D'IMAGERIE MÉDICALE,Examen complémentaire en vue de poser un diagnostic ,KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 Portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Établissements Hospitaliers publics du Burkina Faso.,Bulletin d’examen ,5000,Quittance,Immédiat et en fonction du nombre de patients et selon l’urgence ,Pour un acte,,,,
